Year,Season,Exped Total,Exped Succ,Pct Succ,Total Mbrs,Mbrs AbvBC,Hired AbvBC,Mbrs Succ,Hired Succ,Mbrs Dead,Hired Dead
1922,Spr,1,0,0,13,12,30,0,0,0,7
1924,Spr,1,0,0,11,9,40,0,0,2,2
1933,Spr,1,0,0,16,16,50,0,0,0,0
1934,Spr,1,0,0,1,1,2,0,0,1,0
1935,Sum,1,0,0,7,7,16,0,0,0,0
1936,Spr,1,0,0,12,11,65,0,0,0,0
1938,Spr,1,0,0,7,7,16,0,0,0,0
1947,Spr,1,0,0,1,1,2,0,0,0,0
1951,Spr,1,0,0,1,1,3,0,0,0,0
1951,Aut,1,0,0,6,6,5,0,0,0,0
1952,Spr,1,0,0,11,9,14,0,0,0,0
1952,Aut,1,0,0,7,7,23,0,0,0,1
1953,Spr,1,1,100,13,13,20,1,1,0,0
1956,Spr,1,1,100,11,11,28,4,0,0,0
1960,Spr,2,1,50,51,46,109,3,0,1,0
1962,Spr,2,0,0,18,17,44,0,0,0,1
1963,Spr,1,1,100,20,17,40,5,1,1,0
1964,Spr,1,0,0,20,20,60,0,0,1,0
1965,Spr,1,1,100,20,20,46,8,1,0,0
1966,Spr,1,0,0,20,20,60,0,0,1,0
1969,Spr,2,0,0,7,5,0,0,0,0,0
1969,Aut,1,0,0,16,12,0,0,0,0,1
1970,Spr,2,1,50,73,60,56,3,1,1,7
1971,Spr,1,0,0,31,28,55,0,0,1,0
1971,Aut,1,0,0,20,20,24,0,0,0,0
1972,Spr,1,0,0,23,21,30,0,0,0,0
1972,Aut,1,0,0,12,11,40,0,0,1,0
1973,Spr,1,1,100,65,62,88,5,3,0,0
1973,Aut,1,1,100,49,43,33,2,0,0,1
1974,Spr,1,0,0,16,15,10,0,0,0,0
1974,Aut,1,0,0,10,10,20,0,0,1,5
1975,Spr,2,2,100,57,55,122,10,1,1,0
1975,Aut,1,1,100,23,21,60,3,1,1,1
1976,Spr,1,1,100,34,34,25,2,0,1,0
1976,Aut,1,1,100,19,16,23,2,0,0,0
1977,Spr,1,0,0,8,8,0,0,0,0,0
1977,Aut,1,1,100,19,19,50,1,1,0,0
1978,Spr,2,1,50,39,38,55,8,1,1,1
1978,Aut,2,2,100,39,31,31,13,3,0,0
1979,Spr,1,1,100,31,31,20,4,1,0,1
1979,Aut,3,1,33.3,24,20,30,8,5,2,3
1979,Win,1,1,100,20,19,6,2,0,0,0
1980,Spr,4,3,75,59,58,57,6,1,1,0
1980,Sum,1,1,100,2,1,0,1,0,0,0
1980,Aut,1,0,0,52,52,25,0,0,1,1
1980,Win,2,0,0,28,21,20,0,0,1,0
1981,Spr,2,0,0,48,48,36,0,0,0,0
1981,Aut,3,1,33.3,42,34,7,3,2,0,0
1982,Spr,3,1,33.3,50,44,15,11,0,3,0
1982,Aut,3,1,33.3,56,50,53,2,4,1,5
1982,Win,2,1,50,18,17,8,1,0,2,0
1983,Spr,3,1,33.3,45,43,22,6,2,0,0
1983,Aut,7,3,42.9,82,73,46,11,0,2,1
1983,Win,2,1,50,28,26,22,3,1,0,0
1984,Spr,5,2,40,90,79,55,9,1,2,2
1984,Aut,6,3,50,83,78,39,5,1,4,1
1984,Win,2,0,0,29,25,26,0,0,0,0
1985,Spr,4,1,25,58,52,34,9,8,1,0
1985,Sum,2,1,50,16,16,5,3,3,0,0
1985,Aut,4,1,25,78,75,34,7,0,6,0
1985,Win,4,0,0,45,44,15,0,0,0,0
1986,Spr,5,1,20,41,38,7,2,0,0,0
1986,Sum,3,1,33.3,19,16,5,2,0,1,0
1986,Aut,5,0,0,83,75,37,0,0,1,2
1986,Win,2,0,0,11,11,16,0,0,0,1
1987,Spr,6,0,0,84,79,25,0,0,1,0
1987,Sum,2,0,0,11,11,7,0,0,0,0
1987,Aut,7,0,0,97,91,40,0,0,1,1
1987,Win,2,1,50,13,8,1,1,1,0,0
1988,Spr,4,3,75,171,159,106,18,0,1,0
1988,Sum,1,0,0,19,13,8,0,0,0,0
1988,Aut,12,8,66.7,143,135,95,21,11,5,3
1988,Win,3,0,0,32,24,17,0,0,0,1
1989,Spr,8,4,50,82,69,39,8,6,6,1
1989,Sum,4,0,0,43,43,10,0,0,0,0
1989,Aut,15,4,26.7,177,158,70,6,4,0,0
1989,Win,1,0,0,27,25,10,0,0,0,1
1990,Spr,10,5,50,121,100,76,37,4,0,0
1990,Aut,12,5,41.7,129,116,102,21,10,2,2
1991,Spr,16,9,56.3,164,146,78,22,8,2,0
1991,Sum,1,0,0,11,11,3,0,0,0,0
1991,Aut,13,2,15.4,138,129,55,8,0,0,0
1991,Win,3,0,0,34,29,34,0,0,0,0
1992,Spr,17,9,52.9,216,201,135,40,18,3,2
1992,Aut,14,7,50,165,156,68,28,4,0,2
1992,Win,2,0,0,20,18,26,0,0,0,1
1993,Spr,19,17,89.5,209,186,159,51,39,4,1
1993,Sum,2,0,0,9,9,1,0,0,0,0
1993,Aut,9,5,55.6,92,79,53,18,15,2,0
1993,Win,1,1,100,10,7,20,6,0,0,0
1994,Spr,13,6,46.2,136,119,90,26,17,3,1
1994,Sum,1,0,0,8,8,5,0,0,0,0
1994,Aut,12,2,16.7,104,96,64,3,5,0,1
1995,Spr,15,14,93.3,187,164,109,49,25,0,1
1995,Sum,3,0,0,11,10,2,0,0,0,0
1995,Aut,6,3,50,49,41,37,5,4,1,2
1996,Spr,30,16,53.3,276,242,158,54,33,11,1
1996,Sum,1,0,0,6,6,4,0,0,0,0
1996,Aut,8,2,25,56,50,32,3,8,1,2
1997,Spr,28,17,60.7,250,209,163,54,31,5,3
1997,Aut,11,0,0,83,63,35,0,0,1,0
1998,Spr,32,22,68.8,239,205,134,70,48,4,0
1998,Aut,9,2,22.2,32,28,26,3,0,0,0
1999,Spr,37,24,64.9,190,170,119,71,47,4,0
1999,Aut,4,0,0,30,29,9,0,0,0,0
1999,Win,1,0,0,1,1,3,0,0,0,0
2000,Spr,56,29,51.8,354,309,223,73,60,2,0
2000,Aut,4,3,75,44,43,24,10,2,0,0
2001,Spr,50,33,66,331,278,228,108,74,3,1
2001,Aut,3,0,0,28,20,2,0,0,1,0
2002,Spr,45,35,77.8,220,203,177,89,66,2,0
2002,Aut,5,1,20,17,16,15,1,3,1,0
2003,Spr,71,47,66.2,477,436,344,134,133,3,1
2003,Sum,2,0,0,9,7,2,0,0,0,0
2003,Aut,1,0,0,5,5,6,0,0,0,0
2004,Spr,64,52,81.3,385,336,266,169,168,7,0
2004,Aut,2,0,0,9,7,3,0,0,0,0
2005,Spr,98,53,54.1,478,450,392,160,147,6,0
2005,Aut,1,0,0,2,2,2,0,0,0,0
2006,Spr,98,74,75.5,479,453,375,235,245,7,4
2006,Aut,3,1,33.3,13,13,17,5,9,0,0
2007,Spr,95,73,76.8,579,537,493,317,317,6,1
2007,Aut,1,0,0,16,9,12,0,0,0,0
2008,Spr,56,49,87.5,379,366,293,232,200,1,0
2008,Aut,5,0,0,23,18,21,0,0,0,0
2009,Spr,80,55,68.8,450,402,391,229,239,3,2
2009,Aut,3,0,0,42,28,13,0,0,0,0
2010,Spr,81,70,86.4,457,416,438,259,279,3,0
2010,Aut,4,1,25,9,7,6,1,5,0,0
2011,Spr,95,65,68.4,451,424,487,254,299,4,0
2011,Aut,4,0,0,7,7,4,0,0,0,0
2012,Spr,90,69,76.7,505,487,501,278,302,7,3
2012,Aut,2,0,0,13,13,12,0,0,0,0
2013,Spr,89,72,80.9,491,471,554,312,371,4,4
2014,Spr,66,11,16.7,391,96,300,54,80,0,17
2015,Spr,79,0,0,516,173,435,0,0,3,11
2015,Aut,1,0,0,2,1,5,0,0,0,0
2016,Spr,77,73,94.8,446,425,470,313,366,5,0
2016,Aut,2,0,0,6,6,0,0,0,0,0
2016,Win,1,0,0,2,2,11,0,0,0,0
2017,Spr,95,67,70.5,543,518,550,322,370,5,1
2017,Win,1,0,0,2,2,7,0,0,0,0
2018,Spr,87,80,92,571,547,664,400,458,2,3
2019,Spr,92,79,85.9,559,536,667,398,507,10,1
2019,Aut,4,0,0,11,11,11,0,0,0,0
2019,Win,3,0,0,14,14,4,0,0,0,0
2020,Spr,3,3,100,28,28,28,22,27,0,0
