Name,Yr/Seas,Year,Season,Date,Month,Time,Citizenship,Sex,Age,Oxy,Ascents,Dth,Host,Cause,Altitude
Tenzing Norgay,1953 Spr,1953,1,29-May,5,11:30,India,1,39,1,1,0,Nepal,NA,NA
Edmund Percival Hillary,1953 Spr,1953,1,29-May,5,11:30,New Zealand,1,33,1,1,0,Nepal,NA,NA
Juerg P. Marmet,1956 Spr,1956,1,23-May,5,14:00,Switzerland,1,28,1,1,0,Nepal,NA,NA
Ernst Schmied,1956 Spr,1956,1,23-May,5,14:00,Switzerland,1,31,1,1,0,Nepal,NA,NA
Adolf (Dolf) Reist,1956 Spr,1956,1,24-May,5,11:00,Switzerland,1,35,1,1,0,Nepal,NA,NA
Hans-Rudolf Von Gunten,1956 Spr,1956,1,24-May,5,11:00,Switzerland,1,27,1,1,0,Nepal,NA,NA
Gombu (Konbu),1960 Spr,1960,1,25-May,5,2:05,China,1,25,1,1,0,China,NA,NA
Ying-Hua Qu,1960 Spr,1960,1,25-May,5,2:05,China,1,25,1,1,0,China,NA,NA
Fu-Chou Wang,1960 Spr,1960,1,25-May,5,2:05,China,1,24,1,1,0,China,NA,NA
Nawang Gombu,1963 Spr,1963,1,1-May,5,13:00,India,1,26,1,1,0,Nepal,NA,NA
James W. (Jim) Whittaker,1963 Spr,1963,1,1-May,5,13:00,USA,1,34,1,1,0,Nepal,NA,NA
Barry Chapman Bishop,1963 Spr,1963,1,22-May,5,15:30,USA,1,31,1,1,0,Nepal,NA,NA
Luther Gerald (Lute) Jerstad,1963 Spr,1963,1,22-May,5,15:30,USA,1,26,1,1,0,Nepal,NA,NA
Thomas Frederick Hornbein,1963 Spr,1963,1,22-May,5,18:30,USA,1,32,1,1,0,Nepal,NA,NA
William Francis (Willi) Unsoeld,1963 Spr,1963,1,22-May,5,18:30,USA,1,36,1,1,0,Nepal,NA,NA
Nawang Gombu,1965 Spr,1965,1,20-May,5,9:30,India,1,28,1,1,0,Nepal,NA,NA
Autar Singh Cheema,1965 Spr,1965,1,20-May,5,9:30,India,1,27,1,1,0,Nepal,NA,NA
Sonam Gyatso,1965 Spr,1965,1,22-May,5,12:30,India,1,42,1,1,0,Nepal,NA,NA
Sonam Wangyal,1965 Spr,1965,1,22-May,5,12:30,India,1,23,1,1,0,Nepal,NA,NA
Ang Kami Sherpa,1965 Spr,1965,1,24-May,5,10:45,India,1,NA,1,1,0,Nepal,NA,NA
C. P. Vohra,1965 Spr,1965,1,24-May,5,10:45,India,1,30,1,1,0,Nepal,NA,NA
Hari Pal Singh Ahluwalia,1965 Spr,1965,1,29-May,5,10:00,India,1,27,1,1,0,Nepal,NA,NA
Harish Chandra Singh Rawat,1965 Spr,1965,1,29-May,5,10:00,India,1,30,1,1,0,Nepal,NA,NA
"Phu Dorje Sherpa (Khumjung, Khumbu)",1965 Spr,1965,1,29-May,5,10:00,Nepal,1,27,1,1,0,Nepal,NA,NA
